115	koncentrat pomidorowy	0,97	0,139	0,015	0,056
116	koper	0,33	0,028	0,004	0,028
117	korzeń imbiru	0,8	0,18	0,01	0,02
118	krążki z kalmara	1,74	0,08	0,07	0,18
119	krewetka	0,85	0	0,0051	0,201
120	krewetki	0,99	0	0,011	0,209
121	kukurydza	3,65	0,7426	0,0474	0,0942
122	kukurydza konserwowa	1,09	0,197	0,012	0,029
123	kurczak	1,58	0	0,093	0,186
124	kurka	0,32	0,069	0,005	0,015
125	kurki	0,32	0,069	0,005	0,015
126	kurkuma	3,54	0,65	0,1	0,08
127	kuskus	1,33	0,278	0,011	0,056
128	limonka	0,3	0,105	0,002	0,007
129	liście szpinaku	0,22	0,009	0,004	0,026
130	liść laurowy	3,13	0,75	0,08	0,08
131	lubczyk	0,42	0,05	0,008	0,035
132	łopatka wieprzowa	1,6	0	0,086	0,206
133	łosoś	2,01	0	0,136	0,199
134	łosoś wędzony	1,62	0	0,084	0,215
135	majeranek	1,62	0,61	0,07	0,13
136	majonez	6.79	0.006	0.75	0.01
137	majonez 	6,79	0,006	0,75	0,01
138	makaron	1.31	0.25	0.01	0.05
139	makaron Rigatoni	3,56	0,722	0,015	0,12
140	makaron risini	3,58	0,73	0,013	0,12
141	makaron ryżowy	3,65	0,83	0,007	0,068
142	makaron spaghetti	1,57	0,31	0,009	0,06
143	makrela	1,81	0	0,119	0,187
144	malina	0,52	0,12	0,007	0,012
145	mango	0,59	0,15	0,004	0,008
146	marchew	0,41	0,1	0,002	0,009
147	marchewka	0.41	0.01	0.002	0.009
148	masło	7,35	0,007	0,825	0,007
149	masło klarowane	8.83	0.01	1	0.01
150	masło orzechowe	5,88	0,2	0,5	0,25
151	mąka	3,64	0,76	0,01	0,1
152	mąka kukurydziana	3,69	0,79	0,018	0,07
153	mąka orkiszowa	3,2	0,624	0,027	0,116
154	mąka pszenna	3.64	0.76	0.01	0.1
155	mąka ziemniaczana	3,56	0,83	0,003	0,07
156	mielona kolendra	2,98	0,55	0,18	0,12
157	mielona łopatka wieprzowa	1.75	0	0.12	0.18
158	mielona wołowina	2,56	0	0,2	0,18
159	mieszanka chińska	0,3	0,04	0	0,02
160	mięso gulaszowe wieprzowe	1,35	0	0,07	0,18
161	mięso gulaszowe wołowe	1,33	0	0,046	0,23
162	mięta	0,7	0,15	0,009	0,038
163	miód	3.04	0.82	0	0.003
164	mix sałat z rukolą	0,21	0,02	0,002	0,013
165	mleko	0.42	0.05	0.01	0.03
166	mleko kokosowe	2,29	0,06	0,24	0,023
167	mozarella	2,8	0,031	0,17	0,28
168	mrożone warzywa	0,6	0,13	0,002	0,029
169	musztarda	0.66	0.05	0.04	0.04
170	musztarda miodowa	4,64	0,23	0,41	0,009
171	musztarda sarepska	1,41	0,16	0,06	0,05
172	napój kokosowy	0,2	0,03	0,01	0
173	napój sojowy	0,54	0,06	0,018	0,033
174	nasiona chia	4,86	0,42	0,31	0,17
175	nasiona słonecznika	5,84	0,2	0,51	0,21
176	natka kolendry	0,227	0,037	0,003	0,021
177	natka pietruszki	0,49	0,048	0,004	0,044
178	ogórek	0,15	0,036	0,002	0,007
179	ogórek gruntowy	0,14	0,024	0,001	0,007
180	olej	8.84	0	1	0
181	olej kokosowy	8,62	0	1	0
182	olej roślinny	8,84	0	1	0
183	olej sezamowy	8,84	0	1	0
184	oliwa	8.84	0	1	0
185	oliwa z oliwek	8,84	0	1	0
186	oliwa z pierwszego tłoczenia	8,84	0	1	0
187	oregano	2,65	0,69	0,043	0,09
188	orzech pekan	6,9	0,14	0,72	0,09
189	orzech włoski	6,54	0,14	0,65	0,15
190	orzech ziemny	5,67	0,16	0,49	0,26
191	orzeszki piniowe	6,73	0,13	0,684	0,167
192	oscypek	3,72	0,023	0,269	0,295
193	ośmiornica	1,64	0,044	0,021	0,3
194	papryka	0,3088	0,1014	0,43	0,219
195	papryka czerwona	0,3	0,06	0,003	0,01
196	papryka ostra	0,39	0,09	0,004	0,019
197	papryka słodka	0,31	0,06	0,003	0,01
198	papryka wędzona	3,11	0,1656	0,111	0,1653
199	papryka zielona	0,22	0,026	0,003	0,011
200	papryka żółta	0,26	0,06	0,002	0,01
201	parmezan	4.31	0.04	0.29	0.38
202	passata	0,37	0,09	0,002	0,017
203	pestki dyni	4,46	0,54	0,19	0,19
204	pestki słonecznika	5,84	0,2	0,51	0,21
205	pesto kolendrowe	5,69	0,0616	0,5852	0,0851
206	pieczarka	0,28	0,05	0,005	0,022
207	pieczarka marynowana	0,41	0,07	0	0,02
208	pieczarka portobello	0,26	0,05	0	0,03
209	pieczarki	0,21	0,026	0,004	0,027
210	pieprz	2,51	0,64	0,03	0,1
211	pieprz biały	2,96	0,69	0,02	0,11
212	pieprz cayenne	3,18	0,57	0,17	0,12
213	pieprz cytrynowy	2,33	0,45	0,006	0,069
214	pieprz ziołowy	2,96	0,69	0,02	0,1
215	pierś z indyka	0,84	0	0,007	0,192
216	pierś z kurczaka	1.64	0	0.03	0.31
217	pietruszka	0,49	0,063	0,005	0,026
218	plastry ananasa	0,55	0,124	0,002	0,004
219	płatki corn flakes	3.57	0.84	0.004	0.08
220	płatki owsiane	3,76	0,624	0,072	0,128
221	pomidor	0.17	0.03	0.002	0.009
222	pomidor koktajlowy	0,19	0,029	0,002	0,009
223	pomidor suszony	2,29	0,481	0,002	0,087
224	pomidor z puszki	0,23	0,04	0,002	0,013
225	pomidorki koktajlowe	0.18	0.03	0	0
226	proszek do pieczenia	0,51	0,11	0,002	0,014
227	przecier pomidorowy	0,82	0,19	0,005	0,043
228	przyprawa curry	2,16	0	0,1	0,16
229	przyprawa gyros	2,08	0,18	0,058	0,1
230	przyprawa włoska	2,13	0,32	0,01	0,1
231	razowy chleb	2,471	0,41	0,034	0,13
232	rodzynki	2,29	0,79	0,005	0,031
233	roszponka	0,21	0,036	0,004	0,02
234	rozmaryn	1,31	0,207	0,0586	0,0331
235	rukola	0,25	0,037	0,007	0,026
236	ryż	3,45	0,765	0,007	0,07
237	ryż jaśminowy	3,55	0,79	0	0,07
238	ryż kleisty	0,97	0,21	0,002	0,02
239	rzeżucha	0,32	0,055	0,007	0,026
240	sałata	0,14	0,029	0,002	0,014
241	sałata lodowa	0.13	0.03	0.001	0.009
242	sałata rucola	0,5088	0,0353	0,031	0,0244
243	schab	2.42	0	0.14	0.27
244	seler	0,16	0,03	0,002	0,007
245	ser brie	3,33	0,005	0,28	0,21
246	ser camembert	2.99	0.005	0.24	0.2
247	ser cheddar	4,02	0,013	0,33	0,25
248	ser feta	2,63	0,041	0,21	0,14
249	ser mascarpone	4,36	0,0388	0,445	0,046
250	ser mozzarella	2,8	0,031	0,17	0,28
251	ser owczy	2,75	0,01	0,23	0,16
252	ser zółty	3,56	0,022	0,27	0,25
253	ser żółty	3.56	0.02	0.27	0.25
254	serce drobiowe	1,53	0	0,093	0,16
255	serek śmietankowy	3,42	0,04	0,34	0,06
256	sezam	6,56	0,021	0,599	0,274
257	skórka z pomarańczy	0,97	0,25	0,0002	0,015
258	skrobia ziemniaczana	3.56	0.83	0.003	0.07
259	słodki sos chilli	1,8	0,45	0	0
260	słonina	8,12	0	0,322	0,0292
261	soczewica	1,16	0,2	0,004	0,09
262	soda oczyszczona	0	0	0	0
263	sok z cytryny	0,21	0,07	0,002	0,004
264	sok z limonki	0,24	0,08	0,001	0,004
265	sos paprykowo-ziołowy	4,4	0,06	0,46	0,002
266	sos rybny	0,34	0,036	0	0,05
267	sos sojowy	0.53	0.04	0.006	0.08
268	sos Tabasco	0,12	0,008	0	0,0129
269	sos włoski	2,4	0,12	0,21	0,004
270	sos Worcestershire	0,77	0,19	0	0
271	sól	0	0	0	0
272	sól morska	0	0	0	0
273	suszona śliwka	2,4	0,64	0,004	0,022
274	suszone grzyby	0,22	0,033	0,003	0,031
275	suszone oregano	0,03	0,0069	0,0004	0,0009
276	syrop klonowy	2,6	0,67	0,001	0
277	syrop malinowy	3,24	0,81	0	0
278	szczypiorek	0.3	0.04	0.007	0.03
279	szparag	0,2	0,039	0,001	0,022
280	szpinak	0,23	0,036	0,004	0,029
281	szynka	1,45	0,015	0,06	0,21
282	szynka konserwowa	1,09	0,019	0,028	0,191
283	szynka parmeńska	1,35	0,01	0,03	0,26
284	szynka szwarcwaldzka	2.39	0.01	0.15	0.25
285	śledź	1,58	0	0,09	0,18
286	śledź bałtycki	0,74	0,044	0,02	0,096
287	śliwka suszona	2,4	0,64	0,004	0,022
288	śliwki suszone	2,82	0,595	0,012	0,035
289	śmietana	1,98	0,046	0,1	0,024
290	śmietana 18%	1,92	0,05	0,18	0,03
291	śmietana 30%	2,92	0,03	0,3	0,02
292	śmietana kwaśna 18%	1,86	0,036	0,18	0,024
293	śmietanka kremowa 30%	2.92	0.03	0.3	0.02
294	śmietanka kremówka 30%	2,87	0,03	0,3	0,02
295	świeży imbir	0,8	0,177	0,0074	0,0182
296	tofu	0,76	0,019	0,048	0,08
297	tortilla	2,37	0,5	0,01	0,07
298	truskawka	0,32	0,08	0,003	0,007
299	tuńczyk	1,1	0	0,009	0,251
300	tuńczyk w oleju	1,98	0	0,082	0,255
301	twaróg półtłusty	1,34	0,037	0,047	0,187
302	twaróg tłusty	1,48	0,035	0,08	0,155
303	tymianek	2,76	0,63	0,027	0,09
304	udka z kurczaka	1.77	0	0.08	0.24
305	udko z kurczaka	1,77	0	0,08	0,24
306	udziec z indyka	1.03	0	0.02	0.19
307	Vegeta	3,04	0,4	0,036	0,13
308	Vegeta Natur	1,51	0,3	0,006	0,03
309	wątróbka driobiowa	1,64	0,038	0,044	0,26
310	wątróbka drobiowa	1.64	0.03	0.04	0.02
311	wieprzowina	2,42	0	0,14	0,27
312	winogrono	0,66	0,17	0,004	0,006
313	wiśniówka	3,09	0,33	0	0
314	woda	0	0	0	0
315	woda gazowana	0	0	0	0
316	wołowina	2.5	0	0.15	0.26
317	zagęszczony sos balsamiczny	1,16	0,23	0	0,01
318	ząbek czosnku	1.49	0.33	0.005	0.06
319	ziarna czarnuszki	3,44	0,52	0,15	0,16
320	ziarna sezamu	6	0	1	0
321	ziarna słonecznika	6	0	1	0
322	ziele angielskie	3	1	0	0
323	zielone szparagi	0.2	0.03	0.001	0.02
324	ziemniak	0.76	0.17	0.001	0.02
325	żółtko jajka	3,17	0,003	0,282	0,155
326	żurawina	3,32	0,77	0,014	0,001
