110	gałka muszkatołowa	12	mała szczypta gałki muszkatołowej	5
111	pomidor koktajlowy	12	mała garść pomidorków koktajlowych	40
112	grahamka	13	2 bułki grahamki	130
113	mielona wołowina	13	300 g mielonej wołowiny np. łopatki	300
114	boczek surowy wedzony	13	4 plastry boczku surowego wedzonego	50
115	camembert	13	1 ser camembert	170
116	pomidor	13	2 plastry pomidora	40
117	cebula czerwona	13	4 krążki czerwonej cebuli	60
118	sałata lodowa	13	2 listki sałaty lodowej	80
119	sól	13	1/2 łyżeczki soli	3
120	pieprz	13	1/3 łyżeczki pieprzu	2
121	bułka tarta	13	łyżka bułki tartej	10
122	jajko	13	jajko	55
123	olej	13	łyżka oleju	10
124	musztarda	13	1 łyżka musztadry	10
125	ketchup	13	1/2 łyżki ketchupu	5
126	majonez	13	1/2 łyżki majonezu	5
127	udko z kurczaka	14	4 udka z kurczaka	1200
128	oliwa	14	2 łyżki oliwy	20
129	musztarda	14	1 łyżka musztardy	10
130	czosnek	14	3 ząbki czosnku 	15
131	sos sojowy	14	2 łyżki sosu sojowego	20
132	papryka słodka	14	łyżeczka słodkiej papryki	6
133	pieprz	14	1/3 łyżeczki pieprzu	2
134	papryka czerwona	14	1 czerwona papryka	260
135	wątróbka drobiowa	15	800 g wątróbki drobiowej - z indyka lub z kurczaka	800
136	cebula	15	3 średnie cebule	800
137	mąka pszenna	15	2 łyżki mąki pszennej	20
138	olej	15	6 łyżek oleju	60
139	sól	15	łyżeczka soli	6
140	karkówka wieprzowa	16	500g karkówki	500
141	cebula	16	2 średnie cebule	300
142	czosnek	16	2 ząbki czosnku	10
143	woda	16	1 szklanka wody 	250
144	mąka pszenna	16	1 łyżka mąki pszennej	10
145	olej	16	2 łyżki oleju	20
146	sól	16	1/2 łyżeczki soli	3
147	majeranek	16	1/2 łyżeczki majeranku	3
148	papryka słodka	16	1/2 łyżeczki słodkiej papryki	3
149	pieprz	16	1/2 łyżeczki pieprzu	3
150	kolendra	16	1/3 łyżeczki kolendry	2
151	ziele angielskie	16	2 ziarna ziela angielskiego	1
152	liść laurowy	16	listek laurowy	0.2
153	mielona łopatka wieprzowa	17	500g mielonej łopatki wieprzowej	500
154	kapusta biała	17	pół główki kapusty białej	2200
155	bulion	17	1 szklanka bulionu	250
156	cebula	17	pół średniej cebula	100
157	olej	17	1/2 łyżki oleju	5
158	bułka tarta	17	1 łyżka bułki tartej	10
159	koncentrat pomidorowy	17	1 łyżka koncentratu pomidorowego	10
160	sól	17	łyżeczka soli	6
161	pieprz	17	łyżeczka pieprzu	6
162	schab	18	500 g schabu środkowego	500
163	szynka szwarcwaldzka	18	koło 80 g szynki w plasterkach - 5 plasterków (najlepiej szwarcwaldzkiej)	80
164	ser żółty	18	około 80 g sera żółtego w plasterkach - 5 plasterków	80
165	jajko	18	1 średnie lub duże jajko	50
166	bułka tarta	18	5 łyżek bułki tartek	50
167	mąka pszenna	18	łyżka mąki pszennej	10
168	sól	18	1/3 łyżeczki soli	2
169	pieprz	18	1/3 łyżeczki pieprzu	2
170	olej	18	4 łyżki oleju	40
171	schab	19	4 grubsze kotlety ze schabu	450
172	marchew	19	4 średnie marchewki	550
173	cebula	19	2 średnie cebule	300
174	majonez	19	3 łyżki majonezu	30
175	musztarda	19	1 łyżeczka musztardy	6
176	czosnek	19	1 ząbek czosnku	5
177	ser żółty	19	do 150 g dobrego sera żółtego	150
178	sól	19	1/2 łyżeczki soli	3
179	pieprz	19	1/3 łyżeczki pieprzu	2
180	kaszanka	20	6 kaszanek	750
181	cebula	20	3 średnie cebule	450
182	olej	20	4 łyżki oleju	40
183	musztarda	20	2 łyżki musztardy	20
184	ketchup	20	2 łyżki ketchupu	20
185	pierś z kurczaka	21	pierś z kurczaka	500
186	chleb	21	piętka chleba	5
187	mleko	21	pół szklanki mleka	125
188	jajko	21	1 małe jajko lub samo żółtko z dużego jajka	50
189	natka pietruszki	21	garść natki pietruszki	20
190	sól	21	1/2 łyżeczki soli	3
191	pieprz	21	1/2 łyżeczki pieprzu	3
192	bułka tarta	21	120 g bułki tartej	120
193	masło klarowane	21	4 łyżki masła klarowanego	40
194	wołowina	22	300 g mięsa mielonego - wołowina	300
195	cebula	22	ćwierć cebuli	50
196	czosnek	22	2 ząbki czosnku	10
197	imbir	22	kawałek świeżego imbiru (1cm)	5
198	natka pietruszki	22	garść natki pietruszki	20
199	olej	22	łyżka oleju	10
200	kolendra	22	½ łyżeczki kolendry	3
201	sól	22	łyżeczka soli	6
202	papryka słodka	22	łyżeczka słodkiej papryki	6
203	pieprz	22	1/2 łyżeczki pieprzu	3
